id,type,text,question,option1,option2,option3,option4,correct
1,text,"GRATIS PROEFLES YOGA

Wilt u yoga proberen? Kom dan naar onze gratis proefles!

Wanneer: Elke maandag om 19:00 uur
Waar: Sportcentrum De Brug, zaal 3
Wat meenemen: Sportkleding en een handdoek
Aanmelden: Niet nodig, kom gewoon langs!

Na de proefles kunt u zich inschrijven voor onze cursus van 8 lessen voor slechts € 65.

Voor meer informatie: www.yogastudio-debrug.nl","Wanneer is de gratis proefles yoga?","Elke maandag om 19:00 uur","Elke dinsdag om 19:00 uur","Elke woensdag om 19:00 uur","Elke donderdag om 19:00 uur",0
2,text,"GRATIS PROEFLES YOGA

Wilt u yoga proberen? Kom dan naar onze gratis proefles!

Wanneer: Elke maandag om 19:00 uur
Waar: Sportcentrum De Brug, zaal 3
Wat meenemen: Sportkleding en een handdoek
Aanmelden: Niet nodig, kom gewoon langs!","Moet je je aanmelden voor de proefles?","Ja, via de website","Ja, bij het sportcentrum","Nee, je kunt gewoon langskomen",,2
3,text,"Beste collega's,

Volgende week dinsdag 15 maart hebben we een belangrijke vergadering over het nieuwe project. De vergadering begint om 14:00 uur in vergaderzaal B op de tweede verdieping.

Graag wil ik dat iedereen het projectvoorstel van 10 pagina's vooraf leest. Dit document ligt op jullie bureau.

Tot dinsdag!

Met vriendelijke groet,
Manager Petra van der Berg","Wanneer is de vergadering?","Maandag 15 maart om 14:00 uur","Dinsdag 15 maart om 14:00 uur","Woensdag 15 maart om 14:00 uur","Donderdag 15 maart om 14:00 uur",1
4,text,"Beste collega's,

Volgende week dinsdag 15 maart hebben we een belangrijke vergadering over het nieuwe project. De vergadering begint om 14:00 uur in vergaderzaal B op de tweede verdieping.

Graag wil ik dat iedereen het projectvoorstel van 10 pagina's vooraf leest. Dit document ligt op jullie bureau.","Wat moeten de collega's doen voor de vergadering?","Een presentatie maken","Het projectvoorstel lezen","Een rapport schrijven","Vergaderzaal B reserveren",1
5,text,"Lieve oma,

Bedankt voor je mooie verjaardagskaart! Ik was zo blij toen ik hem kreeg. De foto van jou en opa in de tuin is prachtig.

Volgende maand kom ik je opzoeken. Ik heb vakantie van 20 tot 30 juli. Welke dag komt het beste uit? Ik kan met de trein komen, dat is makkelijker dan met de auto.

Ik heb veel te vertellen over mijn nieuwe baan!

Dikke kus,
Je kleindochter Sarah","Wanneer heeft Sarah vakantie?","Van 20 tot 30 juni","Van 20 tot 30 juli","Van 20 tot 30 augustus","Van 20 tot 30 september",1
6,text,"Lieve oma,

Bedankt voor je mooie verjaardagskaart! Ik was zo blij toen ik hem kreeg. De foto van jou en opa in de tuin is prachtig.

Volgende maand kom ik je opzoeken. Ik heb vakantie van 20 tot 30 juli. Welke dag komt het beste uit? Ik kan met de trein komen, dat is makkelijker dan met de auto.","Hoe wil Sarah naar oma komen?","Met de auto","Met de trein","Met de bus","Met de fiets",1
7,text,"AANVRAAG PASPOORT

Voor het aanvragen van een nieuw paspoort heeft u het volgende nodig:

- Geldig identiteitsbewijs (rijbewijs of ID-kaart)
- Twee recente pasfoto's (niet ouder dan 6 maanden)
- Ingevuld aanvraagformulier
- € 67,20 (alleen pinnen mogelijk)

Openingstijden gemeentehuis:
Maandag t/m vrijdag: 08:30 - 17:00 uur
Zaterdag: 09:00 - 12:00 uur

Wachttijd: ongeveer 5 werkdagen","Hoeveel kost een nieuw paspoort?","€ 57,20","€ 67,20","€ 77,20","€ 87,20",1
8,text,"AANVRAAG PASPOORT

Voor het aanvragen van een nieuw paspoort heeft u het volgende nodig:

- Geldig identiteitsbewijs (rijbewijs of ID-kaart)
- Twee recente pasfoto's (niet ouder dan 6 maanden)
- Ingevuld aanvraagformulier
- € 67,20 (alleen pinnen mogelijk)","Hoe oud mogen de pasfoto's maximaal zijn?","3 maanden","6 maanden","9 maanden","12 maanden",1
9,text,"Cursus Nederlands voor Beginners

Start: 5 september
Tijd: Elke dinsdag en donderdag van 19:00 tot 21:00 uur
Duur: 12 weken
Kosten: € 180 (inclusief boek)
Locatie: Bibliotheek Centrum, zaal 2

In deze cursus leert u:
- Basis Nederlandse woorden
- Eenvoudige gesprekken voeren
- Lezen en schrijven

Aanmelden kan tot 1 september via onze website of telefonisch.","Hoe lang duurt de cursus?","8 weken","10 weken","12 weken","16 weken",2
10,text,"Cursus Nederlands voor Beginners

Start: 5 september
Tijd: Elke dinsdag en donderdag van 19:00 tot 21:00 uur
Duur: 12 weken
Kosten: € 180 (inclusief boek)","Wat is inbegrepen bij de kosten?","Alleen de lessen","De lessen en het boek","Alleen het boek","De lessen en het examen",1